DateTime (UTC), magX, magY, magZ
2015-10-27 00:58:36.130123,61,146,-237
2015-10-27 00:58:50.253931,62,143,-217
2015-10-27 00:59:04.391740,66,147,-210
2015-10-27 00:59:18.515548,67,144,-208
2015-10-27 00:59:32.653356,67,144,-207
2015-10-27 00:59:46.792165,62,146,-231
2015-10-27 01:00:00.914973,66,140,-207
2015-10-27 01:00:15.053781,65,143,-211
2015-10-27 01:00:29.176589,67,145,-221
2015-10-27 01:00:43.315398,63,141,-198
2015-10-27 01:00:57.438206,59,143,-221
2015-10-27 01:01:11.577014,66,144,-194
2015-10-27 01:01:25.699822,64,144,-210
2015-10-27 01:01:39.838631,65,142,-215
2015-10-27 01:01:53.961439,64,142,-217
2015-10-27 01:02:08.100247,71,141,-182
2015-10-27 01:02:22.223055,66,145,-200
2015-10-27 01:02:36.360864,63,144,-215
2015-10-27 01:02:50.484671,66,144,-204
2015-10-27 01:03:04.623480,69,141,-208
2015-10-27 01:03:18.746288,66,144,-223
2015-10-27 01:03:32.885097,69,138,-194
2015-10-27 01:03:47.007904,62,139,-248
2015-10-27 01:04:01.146713,66,144,-221
2015-10-27 01:04:15.284522,63,145,-258
2015-10-27 01:04:29.408330,67,145,-217
2015-10-27 01:04:43.547138,70,141,-204
2015-10-27 01:04:57.669946,72,142,-214
2015-10-27 01:05:11.808755,67,148,-231
2015-10-27 01:05:25.931563,68,145,-235
2015-10-27 01:05:40.069371,67,144,-215
2015-10-27 01:05:54.193179,65,143,-227
2015-10-27 01:06:08.331988,63,145,-233
2015-10-27 01:06:22.454795,69,140,-211
2015-10-27 01:06:36.592604,68,140,-230
2015-10-27 01:06:50.716412,70,140,-210
2015-10-27 01:07:04.855221,65,144,-239
2015-10-27 01:07:18.978028,65,143,-233
2015-10-27 01:07:33.115837,65,143,-232
2015-10-27 01:07:47.254646,67,140,-212
2015-10-27 01:08:01.377454,65,141,-241
2015-10-27 01:08:15.516262,64,144,-261
2015-10-27 01:08:29.639070,66,141,-227
2015-10-27 01:08:43.777879,66,140,-217
2015-10-27 01:08:57.900686,69,143,-218
2015-10-27 01:09:12.039495,67,143,-237
2015-10-27 01:09:26.163303,71,142,-217
2015-10-27 01:09:40.301112,68,144,-235
2015-10-27 01:09:54.423919,62,147,-235
2015-10-27 01:10:08.562728,65,142,-239
2015-10-27 01:10:22.686536,70,145,-212
2015-10-27 01:10:36.824345,69,139,-214
2015-10-27 01:10:50.948152,65,141,-227
2015-10-27 01:11:05.085961,64,141,-244
2015-10-27 01:11:19.209769,72,145,-199
2015-10-27 01:11:33.347578,64,142,-232
2015-10-27 01:11:47.486386,68,142,-203
2015-10-27 01:12:01.609194,66,143,-225
2015-10-27 01:12:15.748003,70,144,-214
2015-10-27 01:12:29.870810,67,142,-237
2015-10-27 01:12:44.009619,69,141,-216
2015-10-27 01:12:58.132427,74,141,-203
2015-10-27 01:13:12.271236,67,142,-228
2015-10-27 01:13:26.394043,70,140,-215
2015-10-27 01:13:40.532852,64,146,-231
2015-10-27 01:13:54.656660,62,145,-239
2015-10-27 01:14:08.794469,72,139,-216
2015-10-27 01:14:22.918276,67,142,-245
2015-10-27 01:14:37.056085,70,140,-202
2015-10-27 01:14:51.178893,74,137,-203
2015-10-27 01:15:05.317702,73,139,-185
2015-10-27 01:15:19.440509,81,140,-162
2015-10-27 01:15:33.579318,67,140,-205
2015-10-27 01:15:47.717127,65,144,-219
2015-10-27 01:16:01.840934,65,146,-220
2015-10-27 01:16:15.979743,70,137,-211
2015-10-27 01:16:30.102551,73,133,-193
2015-10-27 01:16:44.241360,66,142,-222
2015-10-27 01:16:58.364167,72,139,-193
2015-10-27 01:17:12.502976,68,136,-206
2015-10-27 01:17:26.625784,72,135,-200
2015-10-27 01:17:40.764593,73,137,-220
2015-10-27 01:17:54.888400,65,140,-249
2015-10-27 01:18:09.026209,64,138,-230
2015-10-27 01:18:23.150017,74,141,-206
2015-10-27 01:18:37.287826,72,137,-185
2015-10-27 01:18:51.410633,70,139,-230
2015-10-27 01:19:05.549442,66,141,-214
2015-10-27 01:19:19.672250,68,139,-214
2015-10-27 01:19:33.811058,67,136,-228
2015-10-27 01:19:47.948867,68,141,-221
2015-10-27 01:20:02.072675,69,139,-216
2015-10-27 01:20:16.210484,73,137,-225
2015-10-27 01:20:30.334291,76,137,-189
2015-10-27 01:20:44.473100,77,133,-182
2015-10-27 01:20:58.595908,70,140,-229
2015-10-27 01:21:12.733717,70,141,-209
2015-10-27 01:21:26.857524,74,138,-203
2015-10-27 01:21:40.995333,78,132,-177
2015-10-27 01:21:55.119141,74,136,-208
2015-10-27 01:22:09.256949,77,131,-194
2015-10-27 01:22:23.380757,75,137,-185
2015-10-27 01:22:37.518566,76,136,-208
2015-10-27 01:22:51.642374,72,139,-208
2015-10-27 01:23:05.781182,77,133,-173
2015-10-27 01:23:19.903990,68,140,-234
2015-10-27 01:23:34.042799,69,136,-240
2015-10-27 01:23:48.165607,71,137,-216
2015-10-27 01:24:02.304415,74,138,-226
2015-10-27 01:24:16.442224,74,134,-213
2015-10-27 01:24:30.566032,77,136,-201
2015-10-27 01:24:44.703841,75,139,-222
2015-10-27 01:24:58.731696,78,136,-215
2015-10-27 01:25:12.869504,66,140,-239
2015-10-27 01:25:26.993312,70,137,-218
2015-10-27 01:25:41.131121,75,140,-205
2015-10-27 01:25:55.254929,81,135,-185
2015-10-27 01:26:09.392737,74,137,-217
2015-10-27 01:26:23.516545,69,140,254
2015-10-27 01:26:37.654354,75,140,-199
2015-10-27 01:26:51.777162,75,134,-208
