DateTime (UTC), magX, magY, magZ
2015-10-24 03:08:52.773437,71,-226,-215
2015-10-24 03:09:06.912246,62,-224,-213
2015-10-24 03:09:21.051054,68,-224,-210
2015-10-24 03:09:35.174862,69,-227,-209
2015-10-24 03:09:49.312671,69,-229,-217
2015-10-24 03:10:03.436479,69,-220,-221
2015-10-24 03:10:17.575287,65,-227,-211
2015-10-24 03:10:31.714096,68,-221,-216
2015-10-24 03:10:45.836904,66,-226,-212
2015-10-24 03:10:59.975713,53,-212,-250
2015-10-24 03:11:14.098520,68,-222,-211
2015-10-24 03:11:28.238329,75,-224,-218
2015-10-24 03:11:42.361137,72,-223,-210
2015-10-24 03:11:56.499946,76,-227,-212
2015-10-24 03:12:10.638754,68,-229,-207
2015-10-24 03:12:24.762562,72,-228,-216
2015-10-24 03:12:38.900371,67,-221,-210
2015-10-24 03:12:53.024179,72,-226,-212
2015-10-24 03:13:07.162987,67,-231,-209
2015-10-24 03:13:21.301796,69,-223,-213
2015-10-24 03:13:35.424604,64,-224,-217
2015-10-24 03:13:49.563412,69,-218,-211
2015-10-24 03:14:03.686220,65,-221,-211
2015-10-24 03:14:17.825029,64,-220,-214
2015-10-24 03:14:31.963838,70,-223,-217
2015-10-24 03:14:46.087645,65,-223,-213
2015-10-24 03:15:00.226454,68,-220,-226
2015-10-24 03:15:14.349262,65,-227,-212
2015-10-24 03:15:28.488071,65,-223,-219
2015-10-24 03:15:42.626879,68,-219,-212
2015-10-24 03:15:56.749687,63,-224,-203
2015-10-24 03:16:10.888496,66,-224,-210
2015-10-24 03:16:25.012304,6,-173,154
2015-10-24 03:16:39.151112,69,-224,-207
2015-10-24 03:16:53.289921,67,-222,-214
2015-10-24 03:17:07.412729,62,-218,-222
2015-10-24 03:17:21.551537,67,-225,-217
2015-10-24 03:17:35.675345,71,-219,-219
2015-10-24 03:17:49.814154,70,-216,-233
2015-10-24 03:18:03.952963,73,-224,-219
2015-10-24 03:18:18.076770,70,-223,-229
2015-10-24 03:18:32.214579,64,-221,-221
2015-10-24 03:18:46.338387,64,-221,-217
2015-10-24 03:19:00.477196,65,-220,-217
2015-10-24 03:19:14.600003,64,-219,-212
2015-10-24 03:19:28.738812,68,-218,-217
2015-10-24 03:19:42.877621,70,-219,-218
2015-10-24 03:19:57.001429,67,-218,-217
2015-10-24 03:20:11.140237,69,-218,-218
2015-10-24 03:20:25.263045,69,-220,-209
2015-10-24 03:20:39.401854,67,-223,-212
2015-10-24 03:20:53.540663,66,-221,-203
2015-10-24 03:21:07.663470,67,-219,-206
2015-10-24 03:21:21.802279,69,-224,-222
2015-10-24 03:21:35.926087,63,-221,-217
2015-10-24 03:21:50.064896,65,-217,-211
2015-10-24 03:22:04.203704,63,-216,-220
2015-10-24 03:22:18.326512,64,-220,-216
2015-10-24 03:22:32.465321,65,-210,-213
2015-10-24 03:22:46.589129,56,-214,-223
2015-10-24 03:23:00.727937,62,-218,-223
2015-10-24 03:23:14.866746,66,-214,-219
2015-10-24 03:23:28.989554,71,-221,-215
2015-10-24 03:23:43.042411,70,-222,-209
2015-10-24 03:23:57.165219,67,-218,-215
2015-10-24 03:24:11.304028,13,-178,174
2015-10-24 03:24:25.442836,64,-222,-217
2015-10-24 03:24:39.566644,66,-218,-211
2015-10-24 03:24:53.704453,66,-218,-210
2015-10-24 03:25:07.828261,67,-222,-211
2015-10-24 03:25:21.967069,73,-221,-217
2015-10-24 03:25:36.105878,67,-223,-208
2015-10-24 03:25:50.228686,76,-222,-217
2015-10-24 03:26:04.367495,69,-229,-209
2015-10-24 03:26:18.491302,75,-228,-210
2015-10-24 03:26:32.630111,73,-230,-216
2015-10-24 03:26:46.752919,74,-232,-207
2015-10-24 03:27:00.892728,73,-225,-202
2015-10-24 03:27:15.030536,69,-222,-212
2015-10-24 03:27:29.154344,75,-221,-204
2015-10-24 03:27:43.293153,68,-222,-209
2015-10-24 03:27:57.415961,72,-222,-210
2015-10-24 03:28:11.554769,68,-222,-215
2015-10-24 03:28:25.678577,70,-223,-209
2015-10-24 03:28:39.817386,79,-220,-222
2015-10-24 03:28:53.956194,75,-222,-209
2015-10-24 03:29:08.079002,71,-224,-218
2015-10-24 03:29:22.217811,71,-220,-222
2015-10-24 03:29:36.355620,76,-226,-211
2015-10-24 03:29:50.477427,70,-224,-219
2015-10-24 03:30:04.614236,74,-224,-217
2015-10-24 03:30:18.752045,77,-225,-208
2015-10-24 03:30:32.872852,76,-220,-209
2015-10-24 03:30:47.010661,75,-227,-214
